Episode;Outcome;DeathType;Phase;Steps;TotalReward;Epsilon;ExplorationRate;WallsInitial;WallsBroken;BombsDropped;SafetyDangerSteps
1;DEATH;Suicide;1;7;-296,46;1,0000;1,00;6;1;1;2
2;DEATH;Suicide;1;4;-302,38;0,9900;1,00;12;0;1;2
3;DEATH;Suicide;1;6;-295,50;0,9801;1,00;11;1;1;2
4;DEATH;Suicide;1;4;-302,38;0,9703;1,00;13;0;1;2
5;DEATH;Suicide;1;8;-297,77;0,9606;0,88;11;1;2;4
6;DEATH;Suicide;1;9;-292,03;0,9510;1,00;10;2;1;2
7;DEATH;Suicide;1;12;-304,61;0,9415;1,00;13;0;1;2
8;DEATH;Suicide;1;8;-296,47;0,9321;1,00;11;1;2;2
9;DEATH;Suicide;1;4;-302,38;0,9227;1,00;12;0;1;2
10;DEATH;Suicide;1;7;-296,51;0,9135;1,00;15;1;1;2
11;DEATH;Suicide;1;6;-303,00;0,9044;1,00;10;0;1;2
12;DEATH;Suicide;1;8;-296,27;0,8953;0,88;9;1;3;4
13;DEATH;Suicide;1;6;-295,90;0,8864;0,83;12;1;1;2
14;DEATH;Suicide;1;5;-295,44;0,8775;0,80;12;1;1;2
15;DEATH;Suicide;1;8;-302,62;0,8687;0,75;5;0;1;2
16;DEATH;Suicide;1;8;-303,02;0,8601;1,00;9;0;1;2
17;DEATH;Suicide;1;6;-295,90;0,8515;1,00;11;1;1;2
18;DEATH;Suicide;1;4;-302,38;0,8429;1,00;13;0;1;2
19;DEATH;Suicide;1;5;-295,44;0,8345;0,80;12;1;1;2
20;DEATH;Suicide;1;6;-295,90;0,8262;0,83;13;1;1;2
21;DEATH;Suicide;1;4;-300,93;0,8179;1,00;13;0;2;2
22;DEATH;Suicide;1;4;-300,88;0,8097;0,50;15;0;2;2
23;DEATH;Suicide;1;5;-295,49;0,8016;1,00;7;1;2;2
24;DEATH;Suicide;1;4;-302,38;0,7936;1,00;14;0;1;2
25;DEATH;Suicide;1;5;-295,39;0,7857;0,80;15;1;1;2
26;DEATH;Suicide;1;4;-302,38;0,7778;1,00;11;0;1;2
27;DEATH;Suicide;1;8;-304,77;0,7700;0,75;13;0;3;4
28;DEATH;Suicide;1;36;-290,95;0,7623;0,69;11;4;5;10
29;DEATH;Suicide;1;7;-303,91;0,7547;0,71;13;0;1;2
30;DEATH;Suicide;1;6;-301,05;0,7472;1,00;10;0;2;2
31;DEATH;Suicide;1;7;-296,46;0,7397;0,71;11;1;2;2
32;DEATH;Suicide;1;16;-289,30;0,7323;0,69;13;3;3;6
33;DEATH;Suicide;1;4;-302,38;0,7250;1,00;11;0;1;2
34;DEATH;Suicide;1;5;-302,89;0,7177;0,80;13;0;1;2
35;DEATH;Suicide;1;4;-302,38;0,7106;0,75;19;0;2;2
36;DEATH;Suicide;1;6;-295,95;0,7034;0,67;12;1;1;2
37;DEATH;Suicide;1;7;-296,46;0,6964;0,43;9;1;1;2
38;DEATH;Suicide;1;6;-303,40;0,6894;0,67;15;0;1;2
39;DEATH;Suicide;1;4;-302,43;0,6826;0,50;11;0;1;2
40;DEATH;Suicide;1;6;-295,95;0,6757;0,83;11;1;1;2
41;DEATH;Suicide;1;8;-304,77;0,6690;0,63;7;0;2;4
42;DEATH;Suicide;1;5;-302,44;0,6623;0,60;12;0;1;2
43;DEATH;Suicide;1;7;-303,51;0,6557;0,71;12;0;1;2
44;DEATH;Suicide;1;5;-295,44;0,6491;0,60;12;1;1;2
45;DEATH;Suicide;1;7;-295,56;0,6426;0,71;12;1;1;2
46;DEATH;Suicide;1;5;-302,49;0,6362;1,00;17;0;1;2
47;DEATH;Suicide;1;4;-302,38;0,6298;0,50;10;0;2;2
48;DEATH;Suicide;1;13;-295,87;0,6235;0,54;10;2;3;4
49;DEATH;Suicide;1;6;-295,50;0,6173;0,67;5;1;1;2
50;DEATH;Suicide;1;14;-299,08;0,6111;0,57;14;1;2;4
51;DEATH;Suicide;1;7;-295,51;0,6050;0,71;8;1;2;2
52;DEATH;Suicide;1;15;-300,44;0,5990;0,53;11;1;2;4
53;DEATH;Suicide;1;4;-302,33;0,5930;0,50;14;0;1;2
54;DEATH;Suicide;1;7;-296,41;0,5870;0,43;12;1;2;2
55;DEATH;Suicide;1;4;-302,43;0,5812;0,75;12;0;1;2
56;DEATH;Suicide;1;4;-302,43;0,5754;0,50;10;0;1;2
57;WIN;None;1;13;-278,02;0,5696;0,69;11;1;2;4
58;DEATH;Suicide;1;4;-302,38;0,5639;0,00;11;0;1;2
59;DEATH;Suicide;1;12;-298,51;0,5583;0,58;14;1;3;4
60;DEATH;Suicide;1;4;-302,33;0,5527;0,75;12;0;1;2
61;DEATH;Suicide;1;4;-302,38;0,5472;0,25;11;0;2;2
62;DEATH;Suicide;1;11;-297,55;0,5417;0,73;13;1;2;2
63;DEATH;Suicide;1;9;-296,63;0,5363;0,56;9;1;1;2
64;DEATH;Suicide;1;6;-295,90;0,5309;0,50;11;1;1;2
65;DEATH;Suicide;1;9;-297,88;0,5256;0,89;10;1;2;4
66;DEATH;Suicide;1;6;-295,95;0,5203;0,33;15;1;2;2
67;DEATH;Suicide;1;7;-302,56;0,5151;0,86;13;0;1;2
68;DEATH;Suicide;1;6;-295,95;0,5100;0,83;12;1;1;2
69;DEATH;Suicide;1;33;-317,52;0,5049;0,61;12;0;2;4
70;DEATH;Suicide;1;4;-302,38;0,4998;0,50;9;0;2;2
71;DEATH;Suicide;1;4;-302,43;0,4948;0,50;11;0;2;2
72;DEATH;Suicide;1;4;-302,43;0,4899;1,00;10;0;1;2
73;DEATH;Suicide;1;6;-302,55;0,4850;0,33;11;0;2;2
74;DEATH;Suicide;1;4;-302,38;0,4801;0,25;14;0;2;2
75;DEATH;Suicide;1;4;-302,38;0,4753;0,00;15;0;2;2
76;DEATH;Suicide;1;20;-300,74;0,4706;0,50;10;1;3;4
77;DEATH;Suicide;1;4;-302,43;0,4659;0,25;13;0;2;2
78;DEATH;Suicide;1;8;-301,42;0,4612;0,38;12;0;2;4
79;DEATH;Suicide;1;8;-296,07;0,4566;0,38;11;1;2;2
80;DEATH;Suicide;1;8;-297,02;0,4520;0,63;10;1;1;2
81;DEATH;Suicide;1;5;-302,49;0,4475;0,20;12;0;2;2
82;DEATH;Suicide;1;5;-300,54;0,4430;0,20;14;0;1;2
83;DEATH;Suicide;1;15;-292,59;0,4386;0,53;11;2;3;4
84;DEATH;Suicide;1;14;-308,08;0,4342;0,50;11;0;1;2
85;DEATH;Suicide;1;4;-302,38;0,4299;0,50;10;0;1;2
86;DEATH;Suicide;1;4;-302,38;0,4256;0,75;14;0;1;2
87;DEATH;Suicide;1;7;-302,61;0,4213;0,43;9;0;1;2
88;DEATH;Suicide;1;10;-297,09;0,4171;0,50;13;1;2;2
89;DEATH;Suicide;1;6;-290,55;0,4130;0,83;12;2;1;2
90;DEATH;Suicide;1;6;-302,50;0,4088;0,33;11;0;1;2
91;DEATH;Suicide;1;10;-297,09;0,4047;0,60;14;1;1;2
92;DEATH;Suicide;1;7;-303,01;0,4007;0,29;12;0;2;2
93;DEATH;Suicide;1;4;-300,88;0,3967;0,75;13;0;2;2
94;DEATH;Suicide;1;5;-295,44;0,3927;0,60;9;1;1;2
95;DEATH;Suicide;1;4;-302,33;0,3888;0,00;10;0;2;2
96;DEATH;Suicide;1;4;-302,43;0,3849;0,25;10;0;2;2
97;DEATH;Suicide;1;5;-302,49;0,3810;0,40;10;0;2;2
98;DEATH;Suicide;1;17;-299,86;0,3772;0,35;17;1;1;2
99;DEATH;Suicide;1;6;-302,55;0,3735;0,33;13;0;2;2
100;DEATH;Suicide;1;4;-302,38;0,3697;0,50;15;0;1;2
101;DEATH;Suicide;1;5;-302,89;0,3660;0,40;10;0;2;2
102;DEATH;Suicide;1;12;-305,91;0,3624;0,50;15;0;1;2
103;DEATH;Suicide;1;5;-295,39;0,3587;0,40;11;1;1;2
104;DEATH;Suicide;1;22;-290,61;0,3552;0,45;11;3;3;6
105;DEATH;Suicide;1;4;-302,38;0,3516;1,00;11;0;1;2
106;DEATH;Suicide;1;5;-302,44;0,3481;0,40;12;0;2;2
107;DEATH;Suicide;1;4;-302,38;0,3446;0,50;12;0;1;2
108;DEATH;Suicide;1;7;-295,51;0,3412;0,29;12;1;2;2
109;DEATH;Suicide;1;5;-302,44;0,3378;0,40;8;0;1;2
110;DEATH;Suicide;1;5;-302,44;0,3344;0,20;13;0;2;2
111;DEATH;Suicide;1;4;-302,43;0,3310;0,00;15;0;1;2
112;DEATH;Suicide;1;12;-297,21;0,3277;0,42;9;1;1;2
113;DEATH;Suicide;1;7;-297,71;0,3244;0,29;10;1;3;4
114;DEATH;Suicide;1;17;-294,61;0,3212;0,24;14;2;3;4
115;DEATH;Suicide;1;5;-302,49;0,3180;0,40;8;0;1;2
116;DEATH;Suicide;1;9;-303,58;0,3148;0,44;12;0;1;2
117;DEATH;Suicide;1;5;-295,44;0,3117;0,40;12;1;1;2
118;DEATH;Suicide;1;4;-302,43;0,3085;0,50;10;0;1;2
119;DEATH;Suicide;1;9;-296,58;0,3055;0,44;14;1;2;2
120;DEATH;Suicide;1;8;-297,82;0,3024;0,50;13;1;3;4
121;DEATH;Suicide;1;4;-302,33;0,2994;0,25;9;0;1;2
122;DEATH;Suicide;1;4;-302,38;0,2964;0,25;8;0;1;2
123;DEATH;Suicide;1;5;-300,94;0,2934;0,60;13;0;1;2
124;DEATH;Suicide;1;6;-295,95;0,2905;0,17;9;1;2;2
125;DEATH;Suicide;1;12;-293,16;0,2876;0,50;10;2;3;6
126;DEATH;Suicide;1;4;-302,33;0,2847;0,75;8;0;2;2
127;DEATH;Suicide;1;4;-300,93;0,2819;0,25;10;0;1;2
128;DEATH;Suicide;1;5;-295,44;0,2790;0,40;11;1;1;2
129;DEATH;Suicide;1;28;-277,62;0,2763;0,32;10;6;7;14
130;DEATH;Suicide;1;8;-297,72;0,2735;0,63;12;1;2;4
131;DEATH;Suicide;1;8;-290,72;0,2708;0,38;11;2;3;4
132;DEATH;Suicide;1;9;-305,28;0,2680;0,22;12;0;2;4
133;DEATH;Suicide;1;8;-290,72;0,2654;0,25;13;2;3;4
134;DEATH;Suicide;1;5;-295,39;0,2627;0,20;12;1;1;2
135;DEATH;Suicide;1;5;-300,49;0,2601;0,00;11;0;2;2
136;DEATH;Suicide;1;11;-305,85;0,2575;0,36;13;0;2;4
137;DEATH;Suicide;1;8;-290,77;0,2549;0,13;12;2;3;4
138;DEATH;Suicide;1;4;-302,33;0,2524;0,00;15;0;2;2
139;DEATH;Suicide;1;4;-302,38;0,2498;0,25;9;0;2;2
140;DEATH;Suicide;1;7;-297,71;0,2473;0,43;12;1;3;4
141;DEATH;Suicide;1;5;-295,44;0,2449;0,20;12;1;2;2
142;DEATH;Suicide;1;4;-302,38;0,2424;0,75;14;0;2;2
143;DEATH;Suicide;1;64;-303,38;0,2400;0,25;11;3;5;10
144;DEATH;Suicide;1;25;-297,44;0,2376;0,24;10;2;5;8
145;DEATH;Suicide;1;4;-302,38;0,2352;0,00;9;0;2;2
146;DEATH;Suicide;1;4;-302,38;0,2329;0,25;8;0;2;2
147;DEATH;Suicide;1;16;-304,70;0,2305;0,06;7;1;5;10
148;DEATH;Suicide;1;19;-305,03;0,2282;0,26;14;1;2;4
149;DEATH;Suicide;1;4;-302,33;0,2259;0,00;15;0;2;2
150;DEATH;Suicide;1;16;-300,15;0,2237;0,25;14;1;2;4
151;DEATH;Suicide;1;12;-295,11;0,2215;0,25;12;2;4;6
152;DEATH;Suicide;1;4;-302,38;0,2192;0,25;13;0;2;2
153;DEATH;Suicide;1;5;-302,89;0,2170;0,20;12;0;1;2
154;DEATH;Suicide;1;47;-311,71;0,2149;0,28;9;3;6;12
155;DEATH;Suicide;1;4;-302,43;0,2127;0,25;11;0;2;2
156;DEATH;Suicide;1;8;-297,77;0,2106;0,00;13;1;3;4
157;DEATH;Suicide;1;92;-373,51;0,2085;0,18;12;5;10;18
158;DEATH;Suicide;1;7;-296,46;0,2064;0,29;13;1;2;2
159;DEATH;Suicide;1;5;-295,44;0,2043;0,00;9;1;2;2
160;DEATH;Suicide;1;10;-298,24;0,2023;0,10;19;1;1;2
161;DEATH;Suicide;1;5;-295,44;0,2003;0,20;13;1;2;2
162;DEATH;Suicide;1;4;-302,38;0,1983;0,25;13;0;2;2
163;DEATH;Suicide;1;16;-304,55;0,1963;0,25;12;0;1;2
164;DEATH;Suicide;1;14;-293,93;0,1943;0,36;14;2;3;4
165;DEATH;Suicide;1;19;-295,78;0,1924;0,00;13;2;4;8
166;DEATH;Suicide;1;13;-296,32;0,1905;0,23;11;1;1;2
167;DEATH;Suicide;1;6;-295,55;0,1886;0,17;9;1;2;2
168;DEATH;Suicide;1;17;-311,46;0,1867;0,06;13;0;2;4
169;WIN;None;1;23;-289,12;0,1848;0,13;8;0;2;2
170;DEATH;Suicide;1;4;-302,43;0,1830;0,00;10;0;1;2
171;DEATH;Suicide;1;4;-302,43;0,1811;0,00;16;0;2;2
172;DEATH;Suicide;1;4;-302,38;0,1793;0,25;5;0;1;2
173;DEATH;Suicide;1;7;-303,26;0,1775;0,29;10;0;2;4
174;DEATH;Suicide;1;4;-302,43;0,1757;0,00;12;0;2;2
175;DEATH;Suicide;1;4;-302,38;0,1740;0,25;10;0;2;2
176;DEATH;Suicide;1;8;-290,72;0,1723;0,13;13;2;2;4
177;DEATH;Suicide;1;5;-295,39;0,1705;0,20;16;1;1;2
178;DEATH;Suicide;1;21;-303,60;0,1688;0,10;14;1;3;4
179;DEATH;Suicide;1;5;-295,44;0,1671;0,40;13;1;1;2
180;DEATH;Suicide;1;5;-295,39;0,1655;0,20;10;1;2;2
181;DEATH;Suicide;1;12;-299,96;0,1638;0,08;11;1;1;2
182;DEATH;Suicide;1;5;-295,39;0,1622;0,00;11;1;1;2
183;DEATH;Suicide;1;4;-302,38;0,1605;0,25;12;0;2;2
184;DEATH;Suicide;1;4;-302,43;0,1589;0,00;15;0;2;2
185;DEATH;Suicide;1;4;-302,38;0,1574;0,00;11;0;2;2
186;DEATH;Suicide;1;5;-302,44;0,1558;0,40;16;0;2;2
187;DEATH;Suicide;1;8;-290,57;0,1542;0,38;8;2;2;2
188;DEATH;Suicide;1;26;-297,10;0,1527;0,08;10;3;4;8
189;DEATH;Suicide;1;4;-302,38;0,1512;0,25;13;0;1;2
190;DEATH;Suicide;1;26;-301,85;0,1496;0,15;14;3;4;6
191;DEATH;Suicide;1;14;-295,58;0,1481;0,14;13;2;1;2
192;DEATH;Suicide;1;7;-292,76;0,1467;0,14;15;2;3;4
193;DEATH;Suicide;1;41;-299,70;0,1452;0,17;11;4;4;8
194;DEATH;Suicide;1;4;-302,38;0,1437;0,00;15;0;1;2
195;DEATH;Suicide;1;24;-305,68;0,1423;0,17;9;1;6;10
196;DEATH;Suicide;1;18;-299,87;0,1409;0,22;11;1;1;2
197;DEATH;Suicide;1;86;-316,40;0,1395;0,15;16;6;7;14
198;DEATH;Suicide;1;12;-300,06;0,1381;0,08;11;1;1;2
199;DEATH;Suicide;1;31;-294,65;0,1367;0,16;15;4;3;6
200;DEATH;Suicide;1;27;-298,41;0,1353;0,19;9;2;3;6
201;DEATH;Suicide;1;49;-306,68;0,1340;0,20;14;1;2;4
202;DEATH;Suicide;1;56;-343,20;0,1326;0,11;15;2;2;4
203;DEATH;Suicide;1;6;-295,50;0,1313;0,17;9;1;1;2
204;DEATH;Suicide;1;5;-295,44;0,1300;0,40;15;1;2;2
205;DEATH;Suicide;1;39;-349,68;0,1287;0,08;14;0;2;4
206;DEATH;Suicide;1;31;-328,10;0,1274;0,10;13;1;3;4
207;DEATH;Suicide;1;19;-306,98;0,1261;0,11;9;1;3;4
208;DEATH;Suicide;1;6;-303,40;0,1249;0,33;15;0;2;2
209;DEATH;Suicide;1;4;-302,43;0,1236;0,00;10;0;1;2
210;DEATH;Suicide;1;4;-302,43;0,1224;0,00;12;0;2;2
211;DEATH;Suicide;1;8;-297,77;0,1212;0,00;9;1;2;4
212;DEATH;Suicide;1;27;-320,16;0,1200;0,04;5;0;2;4
213;DEATH;Suicide;1;6;-301,00;0,1188;0,00;11;0;2;2
214;DEATH;Suicide;1;15;-303,29;0,1176;0,13;16;1;1;2
215;DEATH;Suicide;1;48;-341,37;0,1164;0,10;10;0;1;2
216;DEATH;Suicide;1;13;-294,62;0,1152;0,15;12;2;1;2
217;DEATH;Suicide;1;5;-295,44;0,1141;0,20;11;1;1;2
218;DEATH;Suicide;1;4;-302,38;0,1129;0,25;11;0;1;2
219;DEATH;Suicide;1;46;-379,15;0,1118;0,04;12;2;3;4
220;DEATH;Suicide;1;5;-295,44;0,1107;0,00;10;1;1;2
221;DEATH;Suicide;1;15;-305,59;0,1096;0,07;8;0;1;2
222;WIN;None;1;17;220,74;0,1085;0,06;11;2;3;6
223;DEATH;Suicide;1;5;-295,44;0,1074;0,20;12;1;1;2
224;DEATH;Suicide;1;17;-294,86;0,1063;0,18;10;2;3;6
