Episode;Outcome;DeathType;Phase;Steps;TotalReward;Epsilon;ExplorationRate;WallsInitial;WallsBroken;BombsDropped;SafetyDangerSteps
1;DEATH;Suicide;1;4;"-304,51";1;"0,5";11;0;1;2
2;WIN;None;1;198;"98,01";"0,9925";"0,6";11;6;39;78
3;TIMEOUT;None;1;600;"-396,85";"0,9851";"0,68";11;9;95;190
4;TIMEOUT;None;1;600;"-316,85";"0,9777";"0,72";11;8;81;162
5;TIMEOUT;None;1;600;"-466,35";"0,9703";"0,65";8;4;101;201
6;TIMEOUT;None;1;600;"-447,15";"0,9631";"0,64";10;7;102;202
7;WIN;None;1;322;"95,98";"0,9558";"0,64";13;9;50;100
8;WIN;None;1;31;"213,7";"0,9487";"0,81";9;1;3;6
9;DEATH;Suicide;1;10;"-305,63";"0,9416";"0,7";11;0;1;2
10;TIMEOUT;None;1;600;"-409,2";"0,9345";"0,64";15;8;96;190
11;WIN;None;1;174;"116,39";"0,9275";"0,64";8;4;27;54
12;WIN;None;1;181;"168,3";"0,9205";"0,65";12;8;27;54
13;TIMEOUT;None;1;600;"-376,85";"0,9136";"0,63";10;8;99;198
14;WIN;None;1;68;"200,41";"0,9068";"0,66";11;2;10;20
15;WIN;None;1;327;"35,03";"0,9";"0,61";8;5;51;102
16;TIMEOUT;None;1;600;-427;"0,8932";"0,6";12;9;101;202
17;WIN;None;1;484;"-19,01";"0,8865";"0,61";13;10;73;146
18;TIMEOUT;None;1;600;"-374,7";"0,8799";"0,61";11;8;88;176
19;DEATH;Suicide;1;6;"-304,85";"0,8733";"0,5";11;0;1;2
20;WIN;None;1;367;"13,18";"0,8667";"0,59";10;9;60;120
21;WIN;None;1;9;"218,19";"0,8602";"0,56";11;0;2;4
22;WIN;None;1;233;"171,76";"0,8538";"0,67";10;9;27;52
23;WIN;None;1;26;"217,2";"0,8474";"0,54";9;2;4;8
24;WIN;None;1;95;"198,12";"0,841";"0,52";9;4;17;32
25;TIMEOUT;None;1;600;"-346,8";"0,8347";"0,58";13;10;86;172
26;WIN;None;1;459;"9,49";"0,8284";"0,63";12;9;65;130
27;WIN;None;1;49;"227,29";"0,8222";"0,59";9;4;8;16
28;TIMEOUT;None;1;600;"-378,7";"0,8161";"0,6";10;7;86;172
29;WIN;None;1;152;"195,83";"0,8099";"0,54";11;5;22;44
30;TIMEOUT;None;1;600;"-282,3";"0,8039";"0,64";14;11;71;142
31;WIN;None;1;229;"177,54";"0,7978";"0,53";16;13;35;70
32;TIMEOUT;None;1;600;"-304,45";"0,7919";"0,57";14;14;86;172
33;WIN;None;1;28;"209,11";"0,7859";"0,39";7;2;6;12
34;DEATH;Suicide;1;7;"-305,07";"0,78";"0,43";13;0;1;2
35;TIMEOUT;None;1;600;"-323,55";"0,7742";"0,58";14;12;83;165
36;WIN;None;1;188;"158,71";"0,7684";"0,53";11;8;26;52
37;TIMEOUT;None;1;600;"-260,7";"0,7626";"0,56";15;13;74;148
38;WIN;None;1;579;"-38,51";"0,7569";"0,53";11;9;81;162
39;WIN;None;1;53;"201,21";"0,7512";"0,57";10;1;6;12
40;WIN;None;1;527;"-55,77";"0,7456";"0,53";9;8;70;140
41;TIMEOUT;None;1;600;"-340,55";"0,74";"0,54";11;11;87;172
42;WIN;None;1;425;"69,02";"0,7344";"0,51";11;9;60;120
43;WIN;None;1;324;"83,74";"0,7289";"0,55";13;10;46;92
44;TIMEOUT;None;1;600;"-330,35";"0,7235";"0,49";11;10;83;164
45;WIN;None;1;23;"222,06";"0,718";"0,52";9;2;4;6
46;WIN;None;1;16;"223,45";"0,7126";"0,44";12;2;2;4
47;WIN;None;1;94;"231,29";"0,7073";"0,51";12;9;13;26
48;WIN;None;1;216;"171,7";"0,702";"0,53";14;12;31;62
49;WIN;None;1;41;"224,85";"0,6967";"0,61";9;2;4;6
50;WIN;None;1;450;"76,77";"0,6915";"0,52";16;14;57;114
51;DEATH;Suicide;1;4;"-304,51";"0,6863";"0,5";11;0;1;2
52;WIN;None;1;40;"224,72";"0,6812";"0,48";14;3;7;14
53;WIN;None;1;210;"170,72";"0,6761";"0,47";11;7;27;54
54;WIN;None;1;9;"218,14";"0,671";"0,44";14;1;2;4
55;WIN;None;1;143;"203,76";"0,666";"0,46";11;8;21;40
56;WIN;None;1;8;"218,36";"0,661";"0,5";14;1;2;4
57;WIN;None;1;425;"74,32";"0,656";"0,5";13;13;52;104
58;WIN;None;1;140;"167,92";"0,6511";"0,46";13;7;26;50
59;WIN;None;1;433;"5,71";"0,6462";"0,48";8;6;54;108
60;WIN;None;1;64;"218,59";"0,6414";"0,42";8;3;7;14
61;WIN;None;1;41;"218,7";"0,6365";"0,54";12;3;4;8
62;WIN;None;1;76;"201,2";"0,6318";"0,46";5;3;11;22
63;TIMEOUT;None;1;600;-268;"0,627";"0,46";11;9;62;124
64;WIN;None;1;20;"230,92";"0,6223";"0,35";10;4;4;8
65;WIN;None;1;85;"227,07";"0,6177";"0,47";11;5;9;18
66;WIN;None;1;119;"221,09";"0,613";"0,46";12;10;17;34
67;WIN;None;1;291;"149,75";"0,6084";"0,42";14;12;35;68
68;WIN;None;1;18;"219,21";"0,6039";"0,28";11;2;4;6
69;WIN;None;1;21;"234,65";"0,5993";"0,29";10;3;3;6
70;WIN;None;1;352;"117,98";"0,5948";"0,42";10;10;44;86
71;WIN;None;1;39;"239,59";"0,5904";"0,31";12;6;6;12
72;WIN;None;1;42;"216,58";"0,586";"0,45";13;4;5;10
73;WIN;None;1;60;"231,02";"0,5816";"0,43";11;6;9;16
74;WIN;None;1;29;"222,89";"0,5772";"0,45";11;2;4;8
75;WIN;None;1;45;"238,17";"0,5729";"0,29";10;6;8;16
76;WIN;None;1;88;"240,26";"0,5686";"0,44";12;7;12;24
77;WIN;None;1;400;"75,92";"0,5643";"0,43";14;14;55;110
78;WIN;None;1;90;"240,12";"0,5601";"0,3";8;8;12;24
79;WIN;None;1;125;"227,12";"0,5559";"0,37";11;10;16;32
80;WIN;None;1;46;"218,2";"0,5517";"0,43";11;4;8;14
81;WIN;None;1;10;"224,57";"0,5476";"0,2";9;2;3;4
82;WIN;None;1;56;"242,6";"0,5435";"0,32";10;6;9;16
83;WIN;None;1;54;"221,29";"0,5394";"0,31";11;3;11;22
84;WIN;None;1;139;"230,49";"0,5353";"0,39";13;11;19;36
85;WIN;None;1;50;"221,12";"0,5313";"0,4";11;4;9;16
86;WIN;None;1;91;"218,45";"0,5273";"0,36";10;6;10;20
87;WIN;None;1;568;"-0,39";"0,5234";"0,42";11;11;66;130
88;WIN;None;1;62;"243,78";"0,5195";"0,31";13;8;10;20
89;WIN;None;1;42;"239,28";"0,5156";"0,33";11;6;6;12
90;WIN;None;1;21;"228,7";"0,5117";"0,19";12;4;3;6
91;WIN;None;1;14;"217,64";"0,5079";"0,43";14;1;2;4
92;WIN;None;1;205;"174,22";"0,5041";"0,39";8;6;25;50
93;WIN;None;1;52;"232,48";"0,5003";"0,37";11;6;9;16
94;WIN;None;1;24;"217,99";"0,4965";"0,38";10;1;3;6
95;WIN;None;1;38;"235,96";"0,4928";"0,29";12;5;7;14
96;WIN;None;1;177;"199,98";"0,4891";"0,4";7;7;22;42
97;WIN;None;1;141;"230,7";"0,4854";"0,35";13;12;20;40
98;WIN;None;1;53;"253,01";"0,4818";"0,25";12;8;8;16
99;WIN;None;1;92;"226,18";"0,4782";"0,3";6;5;12;24
100;WIN;None;1;53;"229,01";"0,4746";"0,3";9;5;9;18
101;WIN;None;1;6;"219,2";"0,471";"0,33";13;1;1;2
102;WIN;None;1;44;"222,34";"0,4675";"0,39";10;4;8;16
103;DEATH;Suicide;1;13;"-306,29";"0,464";"0,54";16;0;2;2
104;WIN;None;1;136;"226,8";"0,4605";"0,34";11;11;21;40
105;WIN;None;1;349;"189,54";"0,4571";"0,34";11;11;38;76
106;WIN;None;1;176;"209,55";"0,4536";"0,35";12;10;16;32
107;WIN;None;1;211;"241,85";"0,4502";"0,27";15;15;32;62
108;WIN;None;1;70;"256,02";"0,4469";"0,3";15;8;9;18
109;WIN;None;1;83;"241,11";"0,4435";"0,33";11;6;9;18
110;WIN;None;1;61;"247,05";"0,4402";"0,31";10;8;10;20
111;WIN;None;1;149;"227,54";"0,4369";"0,32";10;9;18;34
112;WIN;None;1;96;"222,65";"0,4336";"0,32";12;8;12;24
113;WIN;None;1;44;"241,29";"0,4303";"0,27";12;5;8;16
114;WIN;None;1;334;"139,79";"0,4271";"0,37";11;11;37;74
115;WIN;None;1;127;"202,68";"0,4239";"0,35";11;5;15;28
116;WIN;None;1;41;"239,2";"0,4207";"0,22";11;5;7;12
117;WIN;None;1;112;"243,28";"0,4176";"0,33";13;11;15;30
118;WIN;None;1;154;"220,64";"0,4144";"0,31";15;10;21;42
119;DEATH;Suicide;1;4;"-304,51";"0,4113";"0,25";10;0;1;2
120;WIN;None;1;20;"228,77";"0,4083";"0,4";11;3;4;6
121;WIN;None;1;143;"246,96";"0,4052";"0,29";12;12;16;32
122;WIN;None;1;91;"242,8";"0,4022";"0,31";10;10;13;24
123;WIN;None;1;122;"225,03";"0,3991";"0,28";11;6;13;26
124;WIN;None;1;252;"230,33";"0,3961";"0,26";14;14;33;64
125;DEATH;Suicide;1;4;"-301,01";"0,3932";"0,25";13;0;1;2
126;WIN;None;1;109;"237,49";"0,3902";"0,27";14;10;17;34
127;WIN;None;1;33;"230,86";"0,3873";"0,27";10;5;7;14
128;WIN;None;1;23;"214,41";"0,3844";"0,3";10;1;4;8
129;WIN;None;1;41;"249,3";"0,3815";"0,22";15;6;6;12
130;WIN;None;1;85;"225,62";"0,3786";"0,33";13;7;11;22
131;WIN;None;1;11;"218,2";"0,3758";"0,36";7;1;1;2
132;WIN;None;1;29;"239,14";"0,373";"0,17";17;5;4;8
133;WIN;None;1;79;"214,39";"0,3702";"0,35";10;4;10;20
134;WIN;None;1;18;"229,06";"0,3674";0;15;3;4;8
135;WIN;None;1;98;"204,71";"0,3647";"0,26";11;6;12;24
136;WIN;None;1;35;"226,07";"0,3619";"0,29";12;3;6;12
137;WIN;None;1;18;"229,21";"0,3592";"0,33";10;2;3;6
138;WIN;None;1;123;"250,86";"0,3565";"0,22";15;12;17;34
139;WIN;None;1;84;"232,04";"0,3538";"0,29";9;7;12;24
140;WIN;None;1;94;"250,54";"0,3512";"0,24";12;11;15;30
141;WIN;None;1;247;"191,68";"0,3486";"0,3";13;13;29;58
142;WIN;None;1;89;"217,84";"0,3459";"0,26";14;5;11;22
143;WIN;None;1;6;"219,2";"0,3433";"0,33";11;1;1;2
144;WIN;None;1;20;"234,92";"0,3408";"0,25";11;4;4;8
145;WIN;None;1;44;"219,69";"0,3382";"0,25";15;3;6;10
146;WIN;None;1;34;"212,09";"0,3357";"0,29";13;2;6;10
147;WIN;None;1;25;"223,62";"0,3332";"0,08";12;2;4;8
148;WIN;None;1;21;"226,8";"0,3307";"0,19";13;3;3;6
149;WIN;None;1;28;"233,46";"0,3282";"0,29";12;4;5;8
150;WIN;None;1;48;"237,06";"0,3257";"0,19";12;6;9;16
151;WIN;None;1;234;"184,84";"0,3233";"0,29";11;11;28;56
152;WIN;None;1;311;"170,4";"0,3209";"0,2";12;12;40;78
153;WIN;None;1;30;"232,97";"0,3184";"0,13";15;4;5;8
154;WIN;None;1;43;"222,81";"0,3161";"0,28";11;4;7;14
155;WIN;None;1;72;"240,13";"0,3137";"0,19";13;7;8;16
156;WIN;None;1;34;"240,54";"0,3113";"0,18";10;5;6;12
157;WIN;None;1;246;"205,4";"0,309";"0,22";11;7;36;72
158;WIN;None;1;40;"227,32";"0,3067";"0,2";14;3;7;14
159;WIN;None;1;33;"228,56";"0,3044";"0,21";11;4;5;10
160;WIN;None;1;138;"211,61";"0,3021";"0,16";9;8;17;32
161;WIN;None;1;120;"237,67";"0,2998";"0,2";10;9;13;24
162;WIN;None;1;9;"218,69";"0,2976";"0,11";10;1;1;2
163;WIN;None;1;117;"249,68";"0,2954";"0,23";15;13;14;28
164;WIN;None;1;157;"213,08";"0,2931";"0,27";12;10;22;44
165;WIN;None;1;14;"223,84";"0,2909";"0,21";11;1;2;4
166;WIN;None;1;78;"232,41";"0,2888";"0,27";11;8;13;26
167;WIN;None;1;70;"228,12";"0,2866";"0,2";8;5;10;20
168;WIN;None;1;67;"248,73";"0,2844";"0,21";10;8;9;18
169;DEATH;Suicide;1;4;"-301,01";"0,2823";"0,5";9;0;1;2
170;WIN;None;1;21;"234,8";"0,2802";"0,14";9;5;4;8
171;WIN;None;1;156;"206,8";"0,2781";"0,26";10;7;19;38
172;WIN;None;1;59;"264,19";"0,276";"0,22";13;10;7;14
173;DEATH;Suicide;1;4;"-304,51";"0,2739";"0,25";14;0;1;2
174;WIN;None;1;67;"271,13";"0,2719";"0,21";13;11;10;20
