Episode;Outcome;DeathType;Phase;Steps;TotalReward;Epsilon;ExplorationRate;WallsInitial;WallsBroken;BombsDropped;SafetyDangerSteps
1;DEATH;Suicide;3;4;-302,38;1,0000;1,00;10;0;1;2
2;DEATH;Suicide;3;10;-296,14;0,9990;1,00;9;2;1;2
3;DEATH;Suicide;3;6;-302,50;0,9980;1,00;13;0;1;2
4;DEATH;Suicide;3;11;-296,70;0,9970;1,00;11;1;1;2
5;DEATH;Suicide;3;6;-295,95;0,9960;1,00;7;1;1;2
6;DEATH;Suicide;3;10;-295,79;0,9950;1,00;14;1;1;2
7;DEATH;Suicide;3;7;-296,01;0,9940;1,00;11;1;1;2
8;DEATH;Suicide;3;15;-298,64;0,9930;1,00;14;2;3;4
9;DEATH;Suicide;3;4;-302,38;0,9920;1,00;12;0;1;2
10;DEATH;Suicide;3;4;-302,38;0,9910;1,00;15;0;1;2
11;DEATH;Suicide;3;4;-302,38;0,9900;1,00;11;0;1;2
12;DEATH;Suicide;3;23;-305,32;0,9891;1,00;15;2;2;2
13;DEATH;Suicide;3;4;-302,43;0,9881;1,00;10;0;1;2
14;DEATH;Suicide;3;38;-292,57;0,9871;1,00;11;7;7;14
15;DEATH;Suicide;3;12;-303,81;0,9861;1,00;12;1;2;2
16;DEATH;Suicide;3;5;-295,49;0,9851;1,00;16;1;1;2
17;DEATH;Suicide;3;21;-309,95;0,9841;1,00;14;1;3;6
18;DEATH;Suicide;3;6;-295,95;0,9831;1,00;11;1;1;2
19;DEATH;Suicide;3;7;-303,46;0,9822;1,00;13;0;1;2
20;DEATH;Suicide;3;8;-302,62;0,9812;1,00;12;0;1;2
21;DEATH;Suicide;3;25;-308,04;0,9802;1,00;11;1;2;4
22;DEATH;Suicide;3;11;-304,95;0,9792;1,00;10;0;2;4
23;DEATH;Suicide;3;5;-302,39;0,9782;1,00;15;0;2;2
24;DEATH;Suicide;3;4;-302,38;0,9773;1,00;13;0;1;2
25;DEATH;Suicide;3;15;-305,29;0,9763;1,00;8;1;2;2
26;DEATH;Suicide;3;4;-302,38;0,9753;1,00;12;0;1;2
27;DEATH;Suicide;3;9;-291,13;0,9743;1,00;10;3;1;2
28;DEATH;Suicide;3;5;-302,49;0,9733;0,80;8;0;1;2
29;DEATH;Suicide;3;8;-303,47;0,9724;1,00;9;0;1;2
30;DEATH;Suicide;3;20;-308,19;0,9714;0,95;14;2;3;4
31;DEATH;Suicide;3;15;-297,89;0,9704;0,93;13;2;1;2
32;DEATH;Suicide;3;6;-295,55;0,9695;1,00;12;1;1;2
33;DEATH;Suicide;3;5;-295,39;0,9685;1,00;13;1;1;2
34;DEATH;Suicide;3;4;-302,43;0,9675;0,75;10;0;1;2
35;DEATH;Suicide;3;11;-304,15;0,9666;1,00;15;1;1;2
36;DEATH;Suicide;3;14;-297,28;0,9656;1,00;9;3;1;2
37;DEATH;Suicide;3;6;-295,95;0,9646;0,83;15;1;2;2
38;DEATH;Suicide;3;12;-297,71;0,9637;0,83;10;1;1;2
39;DEATH;Suicide;3;8;-302,67;0,9627;0,88;8;0;1;2
40;DEATH;Suicide;3;7;-302,96;0,9617;1,00;13;0;1;2
41;DEATH;Suicide;3;4;-302,43;0,9608;1,00;9;0;1;2
42;DEATH;Suicide;3;5;-295,44;0,9598;1,00;14;1;1;2
43;DEATH;Suicide;3;5;-302,44;0,9589;1,00;11;0;1;2
44;DEATH;Suicide;3;6;-303,45;0,9579;0,67;14;0;1;2
45;DEATH;Suicide;3;6;-302,50;0,9569;1,00;10;0;2;2
46;DEATH;Suicide;3;18;-301,27;0,9560;0,94;16;3;1;2
47;DEATH;Suicide;3;6;-302,50;0,9550;1,00;13;0;1;2
48;DEATH;Suicide;3;6;-302,95;0,9541;1,00;8;0;1;2
49;DEATH;Suicide;3;11;-295,80;0,9531;0,82;8;3;1;2
50;DEATH;Suicide;3;6;-295,90;0,9522;0,83;13;1;2;2
51;DEATH;Suicide;3;6;-295,95;0,9512;0,83;10;1;1;2
52;DEATH;Suicide;3;5;-295,44;0,9503;1,00;12;1;2;2
53;DEATH;Suicide;3;11;-296,25;0,9493;1,00;12;3;1;2
54;DEATH;Suicide;3;33;-295,22;0,9484;1,00;14;5;1;2
55;DEATH;Suicide;3;4;-302,38;0,9474;0,75;10;0;1;2
56;DEATH;Suicide;3;4;-302,38;0,9465;1,00;10;0;2;2
57;DEATH;Suicide;3;7;-302,96;0,9455;1,00;10;0;1;2
58;DEATH;Suicide;3;6;-303,45;0,9446;1,00;13;0;1;2
59;DEATH;Suicide;3;4;-302,43;0,9436;1,00;8;0;2;2
60;DEATH;Suicide;3;5;-302,89;0,9427;0,80;8;0;2;2
61;DEATH;Suicide;3;4;-302,43;0,9417;0,75;10;0;1;2
62;DEATH;Suicide;3;9;-304,03;0,9408;0,89;14;1;1;2
63;DEATH;Suicide;3;4;-302,43;0,9399;1,00;9;0;1;2
64;DEATH;Suicide;3;4;-302,43;0,9389;1,00;13;0;1;2
65;DEATH;Suicide;3;48;-306,02;0,9380;0,92;14;5;2;4
66;DEATH;Suicide;3;4;-302,38;0,9370;1,00;10;0;1;2
67;DEATH;Suicide;3;16;-297,00;0,9361;1,00;13;2;2;2
68;DEATH;Suicide;3;4;-302,33;0,9352;1,00;11;0;1;2
69;DEATH;Suicide;3;4;-302,38;0,9342;1,00;13;0;1;2
70;DEATH;Suicide;3;5;-302,44;0,9333;0,80;13;0;1;2
71;DEATH;Suicide;3;9;-303,58;0,9324;1,00;13;0;2;2
72;DEATH;Suicide;3;5;-302,44;0,9314;0,80;11;0;2;2
73;DEATH;Suicide;3;4;-302,43;0,9305;1,00;11;0;1;2
74;DEATH;Suicide;3;4;-302,33;0,9296;1,00;9;0;2;2
75;DEATH;Suicide;3;11;-303,75;0,9286;0,91;8;1;1;2
76;DEATH;Suicide;3;8;-303,52;0,9277;1,00;16;0;2;2
77;DEATH;Suicide;3;8;-298,22;0,9268;1,00;7;1;3;4
78;DEATH;Suicide;3;12;-305,86;0,9259;1,00;10;1;3;4
