Episode;Outcome;DeathType;Phase;Steps;TotalReward;Epsilon;ExplorationRate;WallsInitial;WallsBroken;BombsDropped;SafetyDangerSteps
1;DEATH;KilledByTarget;3;57;"-89,77";1;"0,61";11;6;10;22
2;DEATH;KilledByTarget;3;59;"-94,31";"0,9992";"0,8";11;6;7;12
3;WIN;None;3;81;"147,9";"0,9984";"0,65";11;3;15;28
4;WIN;None;3;58;"198,01";"0,9976";"0,69";11;4;9;18
5;WIN;None;3;76;"168,25";"0,9968";"0,76";8;7;9;18
6;WIN;None;3;27;"203,58";"0,996";"0,67";10;2;4;8
7;DEATH;KilledByTarget;3;75;"-126,88";"0,9952";"0,73";13;7;10;20
8;DEATH;KilledByTarget;3;74;"-113,41";"0,9944";"0,77";9;6;7;16
9;DEATH;Suicide;3;14;"-306,66";"0,9936";"0,79";11;1;1;2
10;DEATH;KilledByTarget;3;109;"-128,91";"0,9928";"0,7";15;11;15;31
11;WIN;None;3;130;"192,07";"0,992";"0,72";8;5;18;36
12;WIN;None;3;48;"199,66";"0,9912";"0,71";12;7;7;14
13;DEATH;KilledByTarget;3;73;"-118,59";"0,9904";"0,73";10;6;9;19
14;DEATH;KilledByTarget;3;164;"-145,51";"0,9896";"0,73";11;11;22;44
15;DEATH;KilledByTarget;3;213;"-214,69";"0,9889";"0,69";8;8;30;65
16;WIN;None;3;38;"219,61";"0,9881";"0,68";12;6;6;12
17;WIN;None;3;298;"108,61";"0,9873";"0,69";13;13;43;90
18;WIN;None;3;123;"146,11";"0,9865";"0,74";11;10;17;32
19;DEATH;Suicide;3;4;"-304,51";"0,9857";"0,5";11;0;2;2
20;DEATH;KilledByTarget;3;328;"-166,09";"0,9849";"0,7";10;10;43;96
21;WIN;None;3;49;"193,04";"0,9841";"0,55";11;6;10;22
22;DEATH;KilledByTarget;3;38;"-100,44";"0,9833";"0,68";10;5;5;12
23;DEATH;KilledByTarget;3;156;"-135,85";"0,9825";"0,67";9;7;23;48
24;WIN;None;3;140;"134,87";"0,9818";"0,69";9;7;20;42
25;DEATH;KilledByTarget;3;151;"-166,7";"0,981";"0,68";13;11;21;44
26;DEATH;KilledByTarget;3;133;"-178,54";"0,9802";"0,63";12;7;23;48
27;WIN;None;3;137;"155,98";"0,9794";"0,66";9;7;22;47
28;WIN;None;3;69;"167,99";"0,9786";"0,67";10;5;11;22
29;DEATH;Suicide;3;4;"-304,51";"0,9778";"0,25";11;0;1;2
30;WIN;None;3;269;"109,74";"0,9771";"0,67";14;14;40;82
31;DEATH;KilledByTarget;3;262;"-202,12";"0,9763";"0,66";16;15;44;87
32;DEATH;Suicide;3;13;"-306,09";"0,9755";"0,85";14;1;2;2
33;DEATH;KilledByTarget;3;122;"-157,12";"0,9747";"0,71";7;5;16;32
34;DEATH;Suicide;3;12;"-305,97";"0,9739";"0,83";13;0;1;2
35;WIN;None;3;120;"154,62";"0,9732";"0,68";14;9;18;36
36;WIN;None;3;238;"114,21";"0,9724";"0,68";11;11;35;74
37;WIN;None;3;205;"117,27";"0,9716";"0,66";15;14;32;64
38;WIN;None;3;86;"156,6";"0,9708";"0,66";11;5;14;28
39;DEATH;KilledByTarget;3;26;"-120,35";"0,97";"0,65";10;3;4;9
40;DEATH;KilledByTarget;3;202;"-175,42";"0,9693";"0,66";9;8;29;60
41;DEATH;Suicide;3;4;"-304,51";"0,9685";"0,5";11;0;1;2
42;WIN;None;3;115;"168,17";"0,9677";"0,63";11;9;21;40
43;DEATH;KilledByTarget;3;133;"-145,89";"0,9669";"0,69";13;11;20;41
44;DEATH;Suicide;3;10;"-305,63";"0,9662";"0,7";11;1;1;2
45;WIN;None;3;199;"75,49";"0,9654";"0,63";9;7;33;66
46;WIN;None;3;151;"204,2";"0,9646";"0,7";12;11;21;41
47;WIN;None;3;212;"159,78";"0,9639";"0,69";12;12;26;55
48;DEATH;KilledByTarget;3;112;"-123,22";"0,9631";"0,7";14;11;15;31
49;WIN;None;3;207;"55,43";"0,9623";"0,62";9;9;37;74
50;WIN;None;3;137;"153,48";"0,9615";"0,66";16;12;21;43
51;DEATH;KilledByTarget;3;197;"-163,97";"0,9608";"0,74";11;11;22;45
52;WIN;None;3;67;"190,68";"0,96";"0,72";14;9;8;16
53;DEATH;KilledByTarget;3;57;"-110,02";"0,9592";"0,72";11;6;7;15
54;DEATH;KilledByTarget;3;170;"-175,13";"0,9585";"0,69";14;12;24;48
55;WIN;None;3;74;"149,29";"0,9577";"0,64";11;7;13;27
56;DEATH;KilledByTarget;3;153;"-87,99";"0,9569";"0,66";14;10;21;46
57;DEATH;KilledByTarget;3;196;-92;"0,9562";"0,76";13;13;19;40
