Episode;Steps;TotalReward;Epsilon
1;600;-270,05;1,0000
2;600;-209,35;0,9993
3;542;36,74;0,9986
4;205;143,81;0,9979
5;26;218,80;0,9972
6;101;235,10;0,9965
7;364;69,27;0,9958
8;506;25,20;0,9951
9;600;-224,85;0,9944
10;600;-240,95;0,9937
11;2;-100,51;0,9930
12;133;187,23;0,9923
13;319;-183,33;0,9916
14;151;177,25;0,9909
15;4;-102,43;0,9902
16;429;-201,23;0,9896
17;565;-306,04;0,9889
18;328;103,18;0,9882
19;266;-179,75;0,9875
20;31;208,95;0,9868
21;63;183,73;0,9861
22;600;-244,35;0,9854
23;195;-151,14;0,9847
24;4;-102,43;0,9840
25;22;-103,56;0,9833
26;10;-103,64;0,9826
27;4;-102,43;0,9820
28;6;-103,40;0,9813
29;6;-102,55;0,9806
30;17;-97,91;0,9799
31;5;-95,44;0,9792
32;4;-102,43;0,9785
33;5;-102,89;0,9778
34;7;-103,01;0,9772
35;4;-102,38;0,9765
36;4;-102,38;0,9758
37;4;-102,38;0,9751
38;14;-103,93;0,9744
39;4;-102,38;0,9737
